20465000, Heave Mean: -0.033, Heave Variance: 0.000, Elements: -0.033 -0.033 -0.033 -0.033 -0.033 -0.033
19664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20665000, Heave Mean: -0.033, Heave Variance: 0.000, Elements: -0.033 -0.033 -0.033 -0.033 -0.033 -0.034
19864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
19864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20865000, Heave Mean: -0.033, Heave Variance: 0.000, Elements: -0.033 -0.033 -0.033 -0.033 -0.034 -0.034
20064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21065000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.033 -0.033 -0.033 -0.034 -0.034 -0.034
20264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21265000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.033 -0.033 -0.034 -0.034 -0.034 -0.035
20464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21465000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.033 -0.034 -0.034 -0.034 -0.035 -0.035
20664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21665000, Heave Mean: -0.034, Heave Variance: 0.000, Elements: -0.034 -0.034 -0.034 -0.035 -0.035 -0.035
20864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
20864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21865000, Heave Mean: -0.035, Heave Variance: 0.000, Elements: -0.034 -0.034 -0.035 -0.035 -0.035 -0.035
21064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22065000, Heave Mean: -0.035, Heave Variance: 0.000, Elements: -0.034 -0.035 -0.035 -0.035 -0.035 -0.036
21264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22265000, Heave Mean: -0.035, Heave Variance: 0.000, Elements: -0.035 -0.035 -0.035 -0.035 -0.036 -0.036
21464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22465000, Heave Mean: -0.035, Heave Variance: 0.000, Elements: -0.035 -0.035 -0.035 -0.036 -0.036 -0.036
21664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22665000, Heave Mean: -0.036, Heave Variance: 0.000, Elements: -0.035 -0.035 -0.036 -0.036 -0.036 -0.036
21864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
21864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22865000, Heave Mean: -0.036, Heave Variance: 0.000, Elements: -0.035 -0.036 -0.036 -0.036 -0.036 -0.037
22064999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22064999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23065000, Heave Mean: -0.036, Heave Variance: 0.000, Elements: -0.036 -0.036 -0.036 -0.036 -0.037 -0.037
22264999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22264999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23265000, Heave Mean: -0.037, Heave Variance: 0.000, Elements: -0.036 -0.036 -0.036 -0.037 -0.037 -0.038
22464999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22464999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23465000, Heave Mean: -0.037, Heave Variance: 0.000, Elements: -0.036 -0.036 -0.037 -0.037 -0.038 -0.038
22664999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22664999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
23665000, Heave Mean: -0.037, Heave Variance: 0.000, Elements: -0.036 -0.037 -0.037 -0.038 -0.038 -0.038
22864999, Lat Mean: 0.000, Lat Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
22864999, Lon Mean: 0.000, Lon Variance: 0.000, Elements: 0.000 0.000 0.000 0.000 0.000 0.000
